Day,Area,Price1,Band,Demand,Excess Demand,Provisional Price,Price Increment Applicable,lat,long,Price
7,Uttar Pradesh E,19.4,1800,15,-6,19.4,0,26,82,15.52
7,Uttar Pradesh W,19,1800,0,-11,0,0,28,80,15.2
8,Andhra Pradesh,49.04,1800,6,-13,48.56,0,16,80,39.232
8,Bihar,12.4,1800,0,-10,0,0,25.11,85.32,9.92
8,Gujarat,48.07,1800,0,-17,47.6,0,23,72,38.456
8,Haryana,7.32,1800,57,17,7.32,0.29,29.3,76,5.856
8,Himachal Pradesh,2.12,1800,40,-11,2.08,0,31.79,77.1,1.696
8,Karnataka,37.37,1800,0,-9,37,0,15,75,29.896
8,Kerala,15.15,1800,0,-5,15,0,10,76.25,12.12
8,Kolkata,28.39,1800,50,15,28.39,0.85,22.56263,88.36304,22.712
8,North East,2.2,1800,25,-17,2.2,0,28,95,1.76
8,Odisha,5.57,1800,75,-6,5.36,0,26,94.2,4.456
8,Punjab,14.34,1800,0,-8,14.2,0,30.8,75.5,11.472
8,Rajasthan,15.27,1800,0,-52,14.55,0,27,74,12.216
8,Tamil Nadu,45,1800,78,-17,45,0,11,78,36
8,Uttar Pradesh E,19.4,1800,15,-6,19.4,0,26,82,15.52
8,Uttar Pradesh W,19,1800,3,-8,19,0,28,80,15.2
1,Andhra Pradesh,1375,2100,0,-1,0,0,16,80,275
1,Assam,164.82,2100,1,0,156.85,1.56,26.2006043,92.9375739,32.964
1,Delhi,3315,2100,0,-1,0,0,28.38,77.12,663
1,Gujarat,1302.9,2100,0,-1,1290,0,23,72,260.58
1,Haryana,232.3,2100,0,-1,230,0,29.3,76,46.46
1,Karnataka,1610,2100,0,-1,0,0,15,75,322
1,Kerala,594.45,2100,0,-1,588.57,0,10,76.25,118.89
1,Kolkata,583.74,2100,0,-1,577.97,0,22.56263,88.36304,116.748
1,Madhya Pradesh,461.31,2100,0,-1,456.75,0,23.3,80,92.262
1,Maharashtra,1520.05,2100,0,-1,1505,0,20,76,304.01
1,Mumbai,3245,2100,0,-1,0,0,19.07283,72.88261,649
1,North East,45.45,2100,1,0,43.26,0.43,29,95,9.09
1,Odisha,182.06,2100,1,0,180.26,1.8,26,94.2,36.412
1,Rajasthan,509.06,2100,1,0,465.92,4.65,27,74,101.812
1,Tamil Nadu,1737.2,2100,0,-1,1720,0,11,78,347.44
1,Uttar Pradesh E,456.01,2100,0,-1,451.5,0,26,82,91.202
1,Uttar Pradesh W,520.15,2100,0,-1,515,0,28,80,104.03
2,Andhra Pradesh,1375,2100,0,-1,0,0,16,80,275
2,Assam,164.82,2100,1,0,164.82,1.64,26.2006043,92.9375739,32.964
2,Delhi,3315,2100,0,-1,0,0,28.38,77.12,663
2,Gujarat,1302.9,2100,0,-1,1290,0,23,72,260.58
2,Haryana,232.3,2100,0,-1,230,0,29.3,76,46.46
2,Karnataka,1610,2100,0,-1,0,0,15,75,322
2,Kerala,594.45,2100,0,-1,588.57,0,10,76.25,118.89
2,Kolkata,583.74,2100,0,-1,577.97,0,22.56263,88.36304,116.748
2,Madhya Pradesh,461.31,2100,0,-1,456.75,0,23.3,80,92.262
2,Maharashtra,1520.05,2100,0,-1,1505,0,20,76,304.01
2,Mumbai,3245,2100,0,-1,0,0,19.07283,72.88261,649
2,North East,45.45,2100,1,0,45.45,0.45,29,95,9.09
2,Odisha,182.06,2100,0,-1,180.26,0,26,94.2,36.412
2,Rajasthan,509.06,2100,1,0,509.06,5.09,27,74,101.812
2,Tamil Nadu,1737.2,2100,0,-1,1720,0,11,78,347.44
2,Uttar Pradesh E,456.01,2100,0,-1,451.5,0,26,82,91.202
2,Uttar Pradesh W,520.15,2100,0,-1,515,0,28,80,104.03
3,Andhra Pradesh,1375,2100,0,-1,0,0,16,80,275
3,Assam,168.12,2100,0,-1,166.46,0,26.2006043,92.9375739,33.624
3,Delhi,3315,2100,0,-1,0,0,28.38,77.12,663
3,Gujarat,1302.9,2100,0,-1,1290,0,23,72,260.58
3,Haryana,232.3,2100,0,-1,230,0,29.3,76,46.46
3,Karnataka,1610,2100,0,-1,0,0,15,75,322
3,Kerala,594.45,2100,0,-1,588.57,0,10,76.25,118.89
3,Kolkata,583.74,2100,0,-1,577.97,0,22.56263,88.36304,116.748
3,Madhya Pradesh,461.31,2100,0,-1,456.75,0,23.3,80,92.262
3,Maharashtra,1520.05,2100,0,-1,1505,0,20,76,304.01
3,Mumbai,3245,2100,0,-1,0,0,19.07283,72.88261,649
3,North East,48.21,2100,1,0,48.21,0.48,29,95,9.642
3,Odisha,182.06,2100,0,-1,180.26,0,26,94.2,36.412
3,Rajasthan,540.36,2100,1,0,540.36,5.4,27,74,108.072
3,Tamil Nadu,1737.2,2100,0,-1,1720,0,11,78,347.44
3,Uttar Pradesh E,456.01,2100,0,-1,451.5,0,26,82,91.202
3,Uttar Pradesh W,520.15,2100,0,-1,515,0,28,80,104.03
4,Andhra Pradesh,1375,2100,0,-1,0,0,16,80,275
4,Assam,171.49,2100,1,0,171.49,1.71,26.2006043,92.9375739,34.298
4,Delhi,3315,2100,0,-1,0,0,28.38,77.12,663
4,Gujarat,1302.9,2100,0,-1,1290,0,23,72,260.58
4,Haryana,232.3,2100,0,-1,230,0,29.3,76,46.46
4,Karnataka,1626.1,2100,0,-1,1610,0,15,75,325.22
4,Kerala,594.45,2100,0,-1,588.57,0,10,76.25,118.89
4,Kolkata,583.74,2100,0,-1,577.97,0,22.56263,88.36304,116.748
4,Madhya Pradesh,461.31,2100,0,-1,456.75,0,23.3,80,92.262
4,Maharashtra,1520.05,2100,0,-1,1505,0,20,76,304.01
4,Mumbai,3245,2100,0,-1,0,0,19.07283,72.88261,649
4,North East,51.15,2100,1,0,51.15,0.51,29,95,10.23
4,Odisha,182.06,2100,0,-1,180.26,0,26,94.2,36.412
4,Rajasthan,596.29,2100,1,0,596.29,5.96,27,74,119.258
4,Tamil Nadu,1737.2,2100,0,-1,1720,0,11,78,347.44
4,Uttar Pradesh E,456.01,2100,0,-1,451.5,0,26,82,91.202
4,Uttar Pradesh W,520.15,2100,0,-1,515,0,28,80,104.03
5,Andhra Pradesh,1375,2100,0,-1,0,0,16,80,275
5,Assam,174.93,2100,0,-1,173.2,0,26.2006043,92.9375739,34.986
5,Delhi,3315,2100,0,-1,0,0,28.38,77.12,663
5,Gujarat,1302.9,2100,0,-1,1290,0,23,72,260.58
5,Haryana,232.3,2100,0,-1,230,0,29.3,76,46.46
5,Karnataka,1626.1,2100,0,-1,1610,0,15,75,325.22
5,Kerala,594.45,2100,0,-1,588.57,0,10,76.25,118.89
5,Kolkata,583.74,2100,0,-1,577.97,0,22.56263,88.36304,116.748
5,Madhya Pradesh,461.31,2100,0,-1,456.75,0,23.3,80,92.262
5,Maharashtra,1520.05,2100,0,-1,1505,0,20,76,304.01
5,Mumbai,3245,2100,0,-1,0,0,19.07283,72.88261,649
5,North East,51.15,2100,1,-1,51.66,0,29,95,10.23
5,Odisha,182.06,2100,0,-1,180.26,0,26,94.2,36.412
5,Rajasthan,596.29,2100,1,-1,602.25,0,27,74,119.258
5,Tamil Nadu,1737.2,2100,0,-1,1720,0,11,78,347.44
5,Uttar Pradesh E,456.01,2100,0,-1,451.5,0,26,82,91.202
5,Uttar Pradesh W,520.15,2100,0,-1,515,0,28,80,104.03
6,Andhra Pradesh,1375,2100,0,-1,0,0,16,80,275
6,Assam,176.67,2100,0,-1,174.93,0,26.2006043,92.9375739,35.334
6,Delhi,3315,2100,0,-1,0,0,28.38,77.12,663
6,Gujarat,1302.9,2100,0,-1,1290,0,23,72,260.58
6,Haryana,232.3,2100,0,-1,230,0,29.3,76,46.46
6,Karnataka,1658.78,2100,0,-1,1642.36,0,15,75,331.756
6,Kerala,594.45,2100,0,-1,588.57,0,10,76.25,118.89
6,Kolkata,583.74,2100,0,-1,577.97,0,22.56263,88.36304,116.748
6,Madhya Pradesh,461.31,2100,0,-1,456.75,0,23.3,80,92.262
6,Maharashtra,1520.05,2100,0,-1,1505,0,20,76,304.01
6,Mumbai,3245,2100,0,-1,0,0,19.07283,72.88261,649
6,North East,53.74,2100,0,-1,53.21,0,29,95,10.748
6,Odisha,182.06,2100,0,-1,180.26,0,26,94.2,36.412
6,Rajasthan,614.35,2100,0,-1,608.27,0,27,74,122.87
6,Tamil Nadu,1737.2,2100,0,-1,1720,0,11,78,347.44
6,Uttar Pradesh E,456.01,2100,0,-1,451.5,0,26,82,91.202
6,Uttar Pradesh W,520.15,2100,0,-1,515,0,28,80,104.03
7,Andhra Pradesh,1375,2100,0,-1,0,0,16,80,275
7,Assam,178.43,2100,1,0,178.43,1.78,26.2006043,92.9375739,35.686
7,Delhi,3315,2100,0,-1,0,0,28.38,77.12,663
7,Gujarat,1302.9,2100,0,-1,1290,0,23,72,260.58
7,Haryana,232.3,2100,0,-1,230,0,29.3,76,46.46
7,Karnataka,1658.78,2100,0,-1,1642.36,0,15,75,331.756
7,Kerala,594.45,2100,0,-1,588.57,0,10,76.25,118.89
7,Kolkata,583.74,2100,0,-1,577.97,0,22.56263,88.36304,116.748
7,Madhya Pradesh,461.31,2100,0,-1,456.75,0,23.3,80,92.262
7,Maharashtra,1520.05,2100,0,-1,1505,0,20,76,304.01
7,Mumbai,3245,2100,0,-1,0,0,19.07283,72.88261,649
7,North East,53.74,2100,0,-1,53.21,0,29,95,10.748
7,Odisha,182.06,2100,0,-1,180.26,0,26,94.2,36.412
7,Rajasthan,645.66,2100,1,0,645.66,6.45,27,74,129.132
7,Tamil Nadu,1737.2,2100,0,-1,1720,0,11,78,347.44
7,Uttar Pradesh E,456.01,2100,0,-1,451.5,0,26,82,91.202
7,Uttar Pradesh W,520.15,2100,0,-1,515,0,28,80,104.03
8,Andhra Pradesh,1375,2100,0,-1,0,0,16,80,275
8,Assam,189.38,2100,1,0,189.38,1.89,26.2006043,92.9375739,37.876
8,Delhi,3315,2100,0,-1,0,0,28.38,77.12,663
8,Gujarat,1302.9,2100,0,-1,1290,0,23,72,260.58
8,Haryana,232.3,2100,0,-1,230,0,29.3,76,46.46
8,Karnataka,1658.78,2100,0,-1,1642.36,0,15,75,331.756
8,Kerala,594.45,2100,0,-1,588.57,0,10,76.25,118.89
8,Kolkata,583.74,2100,0,-1,577.97,0,22.56263,88.36304,116.748
8,Madhya Pradesh,461.31,2100,0,-1,456.75,0,23.3,80,92.262
8,Maharashtra,1520.05,2100,0,-1,1505,0,20,76,304.01
8,Mumbai,3245,2100,0,-1,0,0,19.07283,72.88261,649
8,North East,53.74,2100,1,0,53.74,0.53,29,95,10.748
8,Odisha,182.06,2100,0,-1,180.26,0,26,94.2,36.412
8,Rajasthan,685.35,2100,1,0,685.35,6.85,27,74,137.07
8,Tamil Nadu,1737.2,2100,0,-1,1720,0,11,78,347.44
8,Uttar Pradesh E,456.01,2100,0,-1,451.5,0,26,82,91.202
8,Uttar Pradesh W,520.15,2100,1,0,520.15,5.2,28,80,104.03
